dataset,user_id,item_id,rating,timestamp,split,context_json,source
fake_review_detection,cM9GIlk61Qh2thLyJyxNyA,N7juvW8YoFIj7sEBzVF8GQ,5,1284681600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 144.0}",fake-review-detection/new_data_train.csv
fake_review_detection,SVlSPBnjCzY2Bu9n8y2C5A,o54U2VkQama8FI30qDkWvw,5,1201737600,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 46.0}",fake-review-detection/new_data_train.csv
fake_review_detection,5HYWhPS3ozYifieW0lWMUw,1QKqtC4vML3QhkrSzwR_tQ,5,1269993600,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 18.0}",fake-review-detection/new_data_train.csv
fake_review_detection,dgKmhiTypR34XNPrMtQyMA,4wreIFjaPMppyEnzKHbozg,5,1272240000,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 41.0}",fake-review-detection/new_data_train.csv
fake_review_detection,uB3n74XHDFUKwHxfK5lDvA,N7juvW8YoFIj7sEBzVF8GQ,5,1283817600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 40.0}",fake-review-detection/new_data_train.csv
fake_review_detection,DkxORcYjho2DKdzgOLqRiA,FCcgXODBs6O7MGH3VZNyLQ,4,1226275200,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 62.0}",fake-review-detection/new_data_train.csv
fake_review_detection,sIa1_QUuE071r22fOsTjng,mCHto10PBQOKnefm7gholg,3,1290384000,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 135.0}",fake-review-detection/new_data_train.csv
fake_review_detection,BQwceat0gqOEWUGivl96kw,_UJ3KqtHIHjExbAg-iIGUA,5,1251072000,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 25.0}",fake-review-detection/new_data_train.csv
fake_review_detection,67d4rtAomBW_o6kRSzTsZQ,CQ75CQSyrsmb-S3UAwCHpw,5,1254873600,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 2.0}",fake-review-detection/new_data_train.csv
fake_review_detection,K8bl2SqbiSUdxfggro-LuA,mCHto10PBQOKnefm7gholg,1,1279411200,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 108.0}",fake-review-detection/new_data_train.csv
fake_review_detection,zQ1WtvaXQwP91mD7RYZzlQ,JDNZxz0ud7zhuPo5pqznMA,5,1330214400,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 306.0}",fake-review-detection/new_data_train.csv
fake_review_detection,ANFLsfZKx2GlwgrPsC-kYA,N7juvW8YoFIj7sEBzVF8GQ,5,1271808000,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 61.0}",fake-review-detection/new_data_train.csv
fake_review_detection,ZXNZkdnSZg66lh9IQP3LJg,euO3-H92LCivH2B0CQPlnw,5,1329782400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 76.0}",fake-review-detection/new_data_train.csv
fake_review_detection,ycVnHILYZqEBaqkt7pJeAA,8d_DiHWB-pjBVW3a7D8EWg,4,1285718400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 16.0}",fake-review-detection/new_data_train.csv
fake_review_detection,RZh_s665M8TybZzl0Z0FuA,4wreIFjaPMppyEnzKHbozg,4,1297468800,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 31.0}",fake-review-detection/new_data_train.csv
fake_review_detection,GQENSal8XLmKJW0qx1gypw,o54U2VkQama8FI30qDkWvw,5,1283990400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 75.0}",fake-review-detection/new_data_train.csv
fake_review_detection,h_x5L3VFHpysmeQmH0bBWA,mCHto10PBQOKnefm7gholg,5,1282953600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 78.0}",fake-review-detection/new_data_train.csv
fake_review_detection,1zHvOJofXFFQuwndLs-ErQ,ibreTMGGaQSanZttUchjKg,1,1280275200,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 163.0}",fake-review-detection/new_data_train.csv
fake_review_detection,u8VllCPN8URSJI4Nphtpyw,o54U2VkQama8FI30qDkWvw,5,1303171200,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 147.0}",fake-review-detection/new_data_train.csv
fake_review_detection,7clk7hJlh9U5Kkwq7IGLEw,qqax04alS3UPx0Yp4jJNDQ,3,1128556800,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 31.0}",fake-review-detection/new_data_train.csv
fake_review_detection,pYgjnhLh2_vDuo25c_fauA,ElCbMJRjgu9LDj4MxOKXew,4,1341705600,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 82.0}",fake-review-detection/new_data_train.csv
fake_review_detection,0Chi_CzoTmkw1NvZg0sksg,o4NcUfco7JxOcyfKFWyAhg,4,1214092800,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 90.0}",fake-review-detection/new_data_train.csv
fake_review_detection,cu6x5YN1XpdWnVt-drZUFQ,IvdOI86_CSCRFpid2atnyA,5,1310428800,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 12.0}",fake-review-detection/new_data_train.csv
fake_review_detection,joLEqnju2_MdR_zJAHaaLA,OKOfoisduqP24uK3WYvx7Q,4,1288742400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 319.0}",fake-review-detection/new_data_train.csv
fake_review_detection,yc2mvO6EOELcoqpODK0LfQ,euO3-H92LCivH2B0CQPlnw,3,1285286400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 166.0}",fake-review-detection/new_data_train.csv
fake_review_detection,YeaQE--g8XQ2J8CxhCRZ3Q,50gFzdVglOz88eFJ6v-26A,5,1219363200,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 2.0, ""ReviewLength"": 29.0}",fake-review-detection/new_data_train.csv
fake_review_detection,91o0hKicmm5GOAOmKOMa3Q,u_Ze5HkcNXgECvYvKS0HLA,3,1210896000,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 57.0}",fake-review-detection/new_data_train.csv
fake_review_detection,WAccH5eDw4PqXSud7Q50yQ,n3VjBryfinjRG1W3LWsPBQ,3,1296086400,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 135.0}",fake-review-detection/new_data_train.csv
fake_review_detection,N5hoKdOgSIP-UWU-20lm5w,Btjt4D8dJ-yEdsts3Tj5Hg,3,1264464000,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 50.0}",fake-review-detection/new_data_train.csv
fake_review_detection,XIAT5mPZX3xhFVGPZ3tl_Q,43rd1LKcZRIunySzbMsyLQ,1,1345680000,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 53.0}",fake-review-detection/new_data_train.csv
fake_review_detection,jzAs_NKDen4ntWMUkelbcw,bNXpwTSavHBV9zBk2lUlGA,5,1289433600,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 150.0}",fake-review-detection/new_data_train.csv
fake_review_detection,zrdaJ8VB_36JRyY5b7cy0A,CwPi6NVuJIZZx4IBcTekFQ,4,1245715200,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 110.0}",fake-review-detection/new_data_train.csv
fake_review_detection,ysCEH1CVagFBgfcv_GmV8A,-pO0hsi0xlF4FwqLGJUizg,5,1289001600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 21.0}",fake-review-detection/new_data_train.csv
fake_review_detection,cFi5wfDzogjBf86Eh7fqhw,4wreIFjaPMppyEnzKHbozg,5,1336003200,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 51.0}",fake-review-detection/new_data_train.csv
fake_review_detection,ALRHdyGnIGTlPSUIZdDKVA,8d_DiHWB-pjBVW3a7D8EWg,4,1265068800,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 11.0}",fake-review-detection/new_data_train.csv
fake_review_detection,Gh6Ust3qbPoPTGrITLSnlg,oEFJ29zAQaCNnQzebHQvpg,5,1346803200,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 20.0}",fake-review-detection/new_data_train.csv
fake_review_detection,b5PXcTPR3Hoy1H24QWCNrA,Z2nOMPedr7XYhgYhILJjEA,4,1289088000,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 191.0}",fake-review-detection/new_data_train.csv
fake_review_detection,cWUQji698z5-j3C5u5torw,ElCbMJRjgu9LDj4MxOKXew,3,1298678400,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 184.0}",fake-review-detection/new_data_train.csv
fake_review_detection,3KK7L2Q6NMfJA1Ky4Ntmdg,4wreIFjaPMppyEnzKHbozg,3,1251158400,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 3.0, ""ReviewLength"": 154.0}",fake-review-detection/new_data_train.csv
fake_review_detection,vzoB7-jmn63BwnnIxL7yWw,Btjt4D8dJ-yEdsts3Tj5Hg,4,1297382400,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 44.0}",fake-review-detection/new_data_train.csv
fake_review_detection,wdycvCQCIJGQkcs0_jVxxg,o54U2VkQama8FI30qDkWvw,2,1308528000,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 80.0}",fake-review-detection/new_data_train.csv
fake_review_detection,SmD4ZnSywCmAMG7tJgvgiw,ALwH81_sqskLmwfWS-_eeQ,5,1274659200,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 122.0}",fake-review-detection/new_data_train.csv
fake_review_detection,wROU0X5g-0nfDTSRjo3Fwg,qkfBgSCbekH3DHTanVL1_w,5,1277856000,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 17.0}",fake-review-detection/new_data_train.csv
fake_review_detection,EOxofxGEskKUj3wUAQDYlA,ms5ge1XY9-Alu7HkybAMdQ,4,1171756800,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 68.0}",fake-review-detection/new_data_train.csv
fake_review_detection,pU_0h21iQtpPIsiVqnKCFQ,ms5ge1XY9-Alu7HkybAMdQ,1,1342483200,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 34.0}",fake-review-detection/new_data_train.csv
fake_review_detection,-nTFFQMBWNedW5wS4wxpeg,LMaoM2Ue2BR_HI9ba3JsZg,4,1328659200,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 116.0}",fake-review-detection/new_data_train.csv
fake_review_detection,-q0rmCOPCgakJJ0H2mJ1mg,euO3-H92LCivH2B0CQPlnw,5,1337212800,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 7.0, ""ReviewLength"": 396.0}",fake-review-detection/new_data_train.csv
fake_review_detection,l0cdsSz4T75y4vO1056bzQ,4wreIFjaPMppyEnzKHbozg,4,1345939200,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 154.0}",fake-review-detection/new_data_train.csv
fake_review_detection,gpcHaHjlsRkcgw9modE0PA,sDYjKyI_67eUhFAqVneYjA,4,1286064000,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 4.0, ""ReviewLength"": 80.0}",fake-review-detection/new_data_train.csv
fake_review_detection,x6k4fuP6TWmUkmakwqHdxQ,tW2jfL-qMccAYZSghPBbHA,5,1250121600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 25.0}",fake-review-detection/new_data_train.csv
fake_review_detection,KAGM_pvMNfw3TOsXMl7YhQ,oCTlReyKjJxKPFYfCurxxQ,4,1311724800,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 93.0}",fake-review-detection/new_data_train.csv
fake_review_detection,dQDuJcOq_9k0XfMrkT74PQ,jGiKIJCVLZHXQDSNnSLPsw,2,1292025600,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 96.0}",fake-review-detection/new_data_train.csv
fake_review_detection,LXEVoHPbwrpBkV4b67FcgA,tW2jfL-qMccAYZSghPBbHA,5,1339545600,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 57.0}",fake-review-detection/new_data_train.csv
fake_review_detection,R35RfQLq-9NLScKGHcPnEQ,O6uWHgJzylSjWjPSJKGhnQ,4,1120262400,train,"{""flagged"": 0.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 1.0, ""ReviewLength"": 14.0}",fake-review-detection/new_data_train.csv
fake_review_detection,JFyytrVnTC8OIpPcQQIdRw,AqgG-1aD6JYj9D6OmBWO3w,5,1191715200,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 26.0}",fake-review-detection/new_data_train.csv
fake_review_detection,aAj4SVPLZUReisz3QByWjQ,z_qEuUuRWIq4O-YufXHf1w,1,1252713600,train,"{""flagged"": 1.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 52.0}",fake-review-detection/new_data_train.csv
fake_review_detection,HtLCevwI6lb9Qp3BfAiVNQ,4wreIFjaPMppyEnzKHbozg,3,1307577600,train,"{""flagged"": 0.0, ""restaurant_rating"": 3.5, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 40.0}",fake-review-detection/new_data_train.csv
fake_review_detection,N8VGIO-Hp1sAjrC5us1y5w,ptRZlXxngjFj5gghwPNNHA,5,1180483200,train,"{""flagged"": 1.0, ""restaurant_rating"": 4.0, ""reviewUsefulCount"": 0.0, ""ReviewLength"": 77.0}",fake-review-detection/new_data_train.csv
