dataset,item_id,title,genres,category,metadata_json,source
genome_2021,1,Toy Story (1995),,movie,"{""directedBy"": ""John Lasseter"", ""starring"": ""Tim Allen, Tom Hanks, Don Rickles, Jim Varney, John Ratzenberger, Wallace Shawn, Laurie Metcalf, John Morris, R. Lee Ermey, Annie Potts"", ""avgRating"": 3.89146, ""imdbId"": ""0114709""}",genome_2021/raw/metadata.json
genome_2021,2,Jumanji (1995),,movie,"{""directedBy"": ""Joe Johnston"", ""starring"": ""Jonathan Hyde, Bradley Pierce, Robin Williams, Kirsten Dunst"", ""avgRating"": 3.26605, ""imdbId"": ""0113497""}",genome_2021/raw/metadata.json
genome_2021,3,Grumpier Old Men (1995),,movie,"{""directedBy"": ""Howard Deutch"", ""starring"": ""Jack Lemmon, Walter Matthau, Ann-Margret , Sophia Loren"", ""avgRating"": 3.17146, ""imdbId"": ""0113228""}",genome_2021/raw/metadata.json
genome_2021,4,Waiting to Exhale (1995),,movie,"{""directedBy"": ""Forest Whitaker"", ""starring"": ""Angela Bassett, Loretta Devine, Whitney Houston, Lela Rochon"", ""avgRating"": 2.86824, ""imdbId"": ""0114885""}",genome_2021/raw/metadata.json
genome_2021,5,Father of the Bride Part II (1995),,movie,"{""directedBy"": ""Charles Shyer"", ""starring"": ""Steve Martin, Martin Short, Diane Keaton, Kimberly Williams, George Newbern, Kieran Culkin"", ""avgRating"": 3.0762, ""imdbId"": ""0113041""}",genome_2021/raw/metadata.json
genome_2021,6,Heat (1995),,movie,"{""directedBy"": ""Michael Mann"", ""starring"": ""Robert De Niro, Al Pacino, Val Kilmer, Jon Voight, Tom Sizemore, Ashley Judd, Diane Venora, Natalie Portman"", ""avgRating"": 3.85549, ""imdbId"": ""0113277""}",genome_2021/raw/metadata.json
genome_2021,7,Sabrina (1995),,movie,"{""directedBy"": ""Sydney Pollack"", ""starring"": ""Harrison Ford, Greg Kinnear, Nancy Marchand, Julia Ormond"", ""avgRating"": 3.37244, ""imdbId"": ""0114319""}",genome_2021/raw/metadata.json
genome_2021,8,Tom and Huck (1995),,movie,"{""directedBy"": ""Peter Hewitt"", ""starring"": ""Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane, Marian Seldes, Rachael Leigh Cook, Peter Mackenzie, Andy Stahl, Adrian Roberts, David Cowgill, Ike Eisenmann, Tamara Mello, Courtney Peldon"", ""avgRating"": 3.11678, ""imdbId"": ""0112302""}",genome_2021/raw/metadata.json
genome_2021,9,Sudden Death (1995),,movie,"{""directedBy"": ""Peter Hyams"", ""starring"": ""Raymond J. Barry, Powers Boothe, Jean-Claude Van Damme, Whittni Wright"", ""avgRating"": 3.00242, ""imdbId"": ""0114576""}",genome_2021/raw/metadata.json
genome_2021,10,GoldenEye (1995),,movie,"{""directedBy"": ""Martin Campbell"", ""starring"": ""Pierce Brosnan, Sean Bean, Famke Janssen, Izabella Scorupco, Joe Don Baker, Judi Dench, Robbie Coltrane, Alan Cumming, Tch\u00e9ky Karyo, Desmond Llewelyn, Samantha Bond"", ""avgRating"": 3.4334, ""imdbId"": ""0113189""}",genome_2021/raw/metadata.json
genome_2021,11,"American President, The (1995)",,movie,"{""directedBy"": ""Rob Reiner"", ""starring"": ""Michael Douglas, Michael J. Fox, Martin Sheen, Annette Bening, Richard Dreyfuss"", ""avgRating"": 3.66058, ""imdbId"": ""0112346""}",genome_2021/raw/metadata.json
genome_2021,12,Dracula: Dead and Loving It (1995),,movie,"{""directedBy"": ""Mel Brooks"", ""starring"": ""Peter MacNicol, Leslie Nielsen, Steven Weber, Amy Yasbeck"", ""avgRating"": 2.67668, ""imdbId"": ""0112896""}",genome_2021/raw/metadata.json
genome_2021,13,Balto (1995),,movie,"{""directedBy"": ""Simon Wells"", ""starring"": ""Kevin Bacon, Jim Cummings, Bob Hoskins, Bridget Fonda"", ""avgRating"": 3.34382, ""imdbId"": ""0112453""}",genome_2021/raw/metadata.json
genome_2021,14,Nixon (1995),,movie,"{""directedBy"": ""Oliver Stone"", ""starring"": ""Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall, David Paymer, David Hyde Pierce, Paul Sorvino, Mary Steenburgen, J.T. Walsh, James Woods, Brian Bedford, Kevin Dunn, Fyvush Finkel, Annabeth Gish, Tom Bower, Tony Goldwyn, Larry Hagman, Edward Herrmann, Madeline Kahn, Dan Hedaya, Tony Lo Bianco, Saul Rubinek, Robert Beltran, John Cunningham, John Diehl, John C. McGinley, Michael Chiklis, David Barry Gray, Enrique Castillo, Victor Rivers, Bridgette Wilson, Ric Young, O'Neal Compton, Marley Shelton, James Karen, Richard Fancy, Ling Bai, John Stockwell, Tony Plana"", ""avgRating"": 3.42846, ""imdbId"": ""0113987""}",genome_2021/raw/metadata.json
genome_2021,15,Cutthroat Island (1995),,movie,"{""directedBy"": ""Renny Harlin"", ""starring"": ""Maury Chaykin, Frank Langella, Matthew Modine, Geena Davis"", ""avgRating"": 2.73427, ""imdbId"": ""0112760""}",genome_2021/raw/metadata.json
genome_2021,16,Casino (1995),,movie,"{""directedBy"": ""Martin Scorsese"", ""starring"": ""Robert De Niro, Joe Pesci, James Woods, Sharon Stone"", ""avgRating"": 3.82016, ""imdbId"": ""0112641""}",genome_2021/raw/metadata.json
genome_2021,17,Sense and Sensibility (1995),,movie,"{""directedBy"": ""Ang Lee"", ""starring"": ""Hugh Grant, Alan Rickman, Emma Thompson, Kate Winslet"", ""avgRating"": 3.94589, ""imdbId"": ""0114388""}",genome_2021/raw/metadata.json
genome_2021,18,Four Rooms (1995),,movie,"{""directedBy"": ""Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino"", ""starring"": ""Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna, Ione Skye, Lili Taylor, Alicia Witt, Jennifer Beals, David Proval, Antonio Banderas, Lana McKissack, Salma Hayek, Quentin Tarantino, Kathy Griffin, Marisa Tomei, Tim Roth, Bruce Willis"", ""avgRating"": 3.41608, ""imdbId"": ""0113101""}",genome_2021/raw/metadata.json
genome_2021,19,Ace Ventura: When Nature Calls (1995),,movie,"{""directedBy"": ""Steve Oedekerk"", ""starring"": ""Simon Callow, Jim Carrey, Maynard Eziashi, Ian McNeice, Bob Gunton"", ""avgRating"": 2.65943, ""imdbId"": ""0112281""}",genome_2021/raw/metadata.json
genome_2021,20,Money Train (1995),,movie,"{""directedBy"": ""Joseph Ruben"", ""starring"": ""Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper, Joe Grifasi, Skipp Sudduth, Aida Turturro, Vincent Pastore, Dean Norris, Jos\u00e9 Z\u00fa\u00f1iga, Bill Nunn, Larry Gilliard Jr., Flex Alexander"", ""avgRating"": 2.89166, ""imdbId"": ""0113845""}",genome_2021/raw/metadata.json
genome_2021,21,Get Shorty (1995),,movie,"{""directedBy"": ""Barry Sonnenfeld"", ""starring"": ""John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini"", ""avgRating"": 3.56584, ""imdbId"": ""0113161""}",genome_2021/raw/metadata.json
genome_2021,22,Copycat (1995),,movie,"{""directedBy"": ""Jon Amiel"", ""starring"": ""William McNamara, Dermot Mulroney, Holly Hunter, Sigourney Weaver, Harry Connick Jr."", ""avgRating"": 3.30034, ""imdbId"": ""0112722""}",genome_2021/raw/metadata.json
genome_2021,23,Assassins (1995),,movie,"{""directedBy"": ""Richard Donner"", ""starring"": ""Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov"", ""avgRating"": 3.16033, ""imdbId"": ""0112401""}",genome_2021/raw/metadata.json
genome_2021,24,Powder (1995),,movie,"{""directedBy"": ""Victor Salva"", ""starring"": ""Sean Patrick Flanery, Jeff Goldblum, Lance Henriksen, Mary Steenburgen"", ""avgRating"": 3.17479, ""imdbId"": ""0114168""}",genome_2021/raw/metadata.json
genome_2021,25,Leaving Las Vegas (1995),,movie,"{""directedBy"": ""Mike Figgis"", ""starring"": ""Nicolas Cage, Elisabeth Shue, Richard Lewis, Julian Sands"", ""avgRating"": 3.66472, ""imdbId"": ""0113627""}",genome_2021/raw/metadata.json
genome_2021,26,Othello (1995),,movie,"{""directedBy"": ""Oliver Parker"", ""starring"": ""Kenneth Branagh, Laurence Fishburne, Nathaniel Parker, Ir\u00e8ne Jacob"", ""avgRating"": 3.60747, ""imdbId"": ""0114057""}",genome_2021/raw/metadata.json
genome_2021,27,Now and Then (1995),,movie,"{""directedBy"": ""Lesli Linka Glatter"", ""starring"": ""Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Rita Wilson, Devon Sawa, Cloris Leachman, Lolita Davidovich, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Rumer Willis, Brendan Fraser"", ""avgRating"": 3.42382, ""imdbId"": ""0114011""}",genome_2021/raw/metadata.json
genome_2021,28,Persuasion (1995),,movie,"{""directedBy"": ""Roger Michell"", ""starring"": ""Amanda Root, Ciar\u00e1n Hinds, Susan Fleetwood, Corin Redgrave, Fiona Shaw"", ""avgRating"": 4.03531, ""imdbId"": ""0114117""}",genome_2021/raw/metadata.json
genome_2021,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",,movie,"{""directedBy"": ""Marc Caro, Jean-Pierre Jeunet"", ""starring"": ""Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon, Jean-Claude Dreyfus"", ""avgRating"": 3.91428, ""imdbId"": ""0112682""}",genome_2021/raw/metadata.json
genome_2021,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),,movie,"{""directedBy"": ""Yimou Zhang"", ""starring"": ""Li Gong, Baotian Li, Wang Xiaoxiao, Xuejian Li"", ""avgRating"": 3.63838, ""imdbId"": ""0115012""}",genome_2021/raw/metadata.json
genome_2021,31,Dangerous Minds (1995),,movie,"{""directedBy"": ""John N. Smith"", ""starring"": ""Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde, John Neville, Lorraine Toussaint, Renoly Santiago, Wade Dominguez, Bruklin Harris, Marcello Thedford, Paula Garc\u00e9s, Ivan Sergei, Camille Winbush, "", ""avgRating"": 3.23571, ""imdbId"": ""0112792""}",genome_2021/raw/metadata.json
genome_2021,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,movie,"{""directedBy"": ""Terry Gilliam"", ""starring"": ""Bruce Willis, Jon Seda, Simon Jones, Madeleine Stowe, Brad Pitt, Frederick Strother, Frank Gorshin, Aaron Michael Lacey, David Morse, Lisa Gay Hamilton, Matt Ross, Christopher Plummer, Christopher Meloni"", ""avgRating"": 3.89449, ""imdbId"": ""0114746""}",genome_2021/raw/metadata.json
genome_2021,33,Wings of Courage (1995),,movie,"{""directedBy"": ""Jean-Jacques Annaud"", ""starring"": ""Tom Hulce, Val Kilmer, Craig Sheffer, Elizabeth McGovern"", ""avgRating"": 3.05405, ""imdbId"": ""0114952""}",genome_2021/raw/metadata.json
genome_2021,34,Babe (1995),,movie,"{""directedBy"": ""Chris Noonan"", ""starring"": ""Danny Mann, Hugo Weaving, Christine Cavanaugh, Miriam Margolyes, James Cromwell, Magda Szubanski"", ""avgRating"": 3.598, ""imdbId"": ""0112431""}",genome_2021/raw/metadata.json
genome_2021,35,Carrington (1995),,movie,"{""directedBy"": ""Christopher Hampton"", ""starring"": ""Jonathan Pryce, Steven Waddington, Samuel West, Emma Thompson"", ""avgRating"": 3.49527, ""imdbId"": ""0112637""}",genome_2021/raw/metadata.json
genome_2021,36,Dead Man Walking (1995),,movie,"{""directedBy"": ""Tim Robbins"", ""starring"": ""Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston, Peter Sarsgaard, Jack Black, Eva Amurri, "", ""avgRating"": 3.9247, ""imdbId"": ""0112818""}",genome_2021/raw/metadata.json
genome_2021,37,Across the Sea of Time (1995),,movie,"{""directedBy"": ""Stephen Low"", ""starring"": ""Avi Hoffman, John McDonough, Peter Reznick, Victor Steinbach"", ""avgRating"": 2.96667, ""imdbId"": ""0112286""}",genome_2021/raw/metadata.json
genome_2021,38,It Takes Two (1995),,movie,"{""directedBy"": ""Andy Tennant"", ""starring"": ""Steve Guttenberg, Kirstie Alley, Ashley Olsen, Mary-Kate Olsen, Jane Sibbet"", ""avgRating"": 2.92126, ""imdbId"": ""0113442""}",genome_2021/raw/metadata.json
genome_2021,39,Clueless (1995),,movie,"{""directedBy"": ""Amy Heckerling"", ""starring"": ""Alicia Silverstone, Paul Rudd, Stacey Dash, Brittany Murphy, Donald Faison, Elisa Donovan, Breckin Meyer"", ""avgRating"": 3.42428, ""imdbId"": ""0112697""}",genome_2021/raw/metadata.json
genome_2021,40,"Cry, the Beloved Country (1995)",,movie,"{""directedBy"": ""Darrell Roodt"", ""starring"": ""Richard Harris, James Earl Jones, Tsholofelo Wechoemang, Dolly Rathebe"", ""avgRating"": 3.64647, ""imdbId"": ""0112749""}",genome_2021/raw/metadata.json
genome_2021,41,Richard III (1995),,movie,"{""directedBy"": ""Richard Loncraine"", ""starring"": ""Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne"", ""avgRating"": 3.84578, ""imdbId"": ""0114279""}",genome_2021/raw/metadata.json
genome_2021,42,Dead Presidents (1995),,movie,"{""directedBy"": ""Albert Hughes, Allen Hughes"", ""starring"": ""Larenz Tate, Keith David, Chris Tucker, Freddy Rodr\u00edguez, Rose Jackson, N'Bushe Wright, Jenifer Lewis, Clifton Powell, Terrence Howard, Sticky Fingaz, Bokeem Woodbine, David Barry Gray, Michael Imperioli, Clifton Collins Jr., Tony Sirico, Seymour Cassel, Martin Sheen, Isaiah Washington"", ""avgRating"": 3.05203, ""imdbId"": ""0112819""}",genome_2021/raw/metadata.json
genome_2021,43,Restoration (1995),,movie,"{""directedBy"": ""Michael Hoffman"", ""starring"": ""Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker, Meg Ryan, Ian McKellen, Hugh Grant, Ian McDiarmid, Roger Ashton-Griffiths"", ""avgRating"": 3.46409, ""imdbId"": ""0114272""}",genome_2021/raw/metadata.json
genome_2021,44,Mortal Kombat (1995),,movie,"{""directedBy"": ""Paul W.S. Anderson"", ""starring"": ""Linden Ashby, Christopher Lambert, Robin Shou, Talisa Soto, Cary-Hiroyuki Tagawa, Bridgette Wilson, Trevor Goddard"", ""avgRating"": 2.63928, ""imdbId"": ""0113855""}",genome_2021/raw/metadata.json
genome_2021,45,To Die For (1995),,movie,"{""directedBy"": ""Gus Van Sant"", ""starring"": ""Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Wayne Knight, Kurtwood Smith"", ""avgRating"": 3.37296, ""imdbId"": ""0114681""}",genome_2021/raw/metadata.json
