dataset,item_id,title,genres,category,metadata_json,source
market_bias,modcloth:i:6454,Modcloth Item 6454,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 3.8181818181818183, ""brand"": ""ModCloth"", ""year"": 2017}",marketBias/data
market_bias,modcloth:i:7443,Modcloth Item 7443,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 3.772502472799209, ""brand"": null, ""year"": 2012}",marketBias/data
market_bias,modcloth:i:11960,Modcloth Item 11960,Outerwear,Outerwear,"{""domain"": ""modcloth"", ""avg_rating"": 4.033957845433255, ""brand"": null, ""year"": 2010}",marketBias/data
market_bias,modcloth:i:16411,Modcloth Item 16411,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 3.668253968253968, ""brand"": null, ""year"": 2011}",marketBias/data
market_bias,modcloth:i:21296,Modcloth Item 21296,Bottoms,Bottoms,"{""domain"": ""modcloth"", ""avg_rating"": 4.171760391198044, ""brand"": ""ModCloth"", ""year"": 2013}",marketBias/data
market_bias,modcloth:i:22563,Modcloth Item 22563,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.188118811881188, ""brand"": null, ""year"": 2014}",marketBias/data
market_bias,modcloth:i:24853,Modcloth Item 24853,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.032558139534884, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:27439,Modcloth Item 27439,Outerwear,Outerwear,"{""domain"": ""modcloth"", ""avg_rating"": 4.484455958549223, ""brand"": ""Steve Madden"", ""year"": 2018}",marketBias/data
market_bias,modcloth:i:27590,Modcloth Item 27590,Bottoms,Bottoms,"{""domain"": ""modcloth"", ""avg_rating"": 4.23394495412844, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:28252,Modcloth Item 28252,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.465909090909091, ""brand"": ""Retrolicious"", ""year"": 2015}",marketBias/data
market_bias,modcloth:i:28967,Modcloth Item 28967,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.502982107355865, ""brand"": null, ""year"": 2013}",marketBias/data
market_bias,modcloth:i:31644,Modcloth Item 31644,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.349670122525919, ""brand"": null, ""year"": 2015}",marketBias/data
market_bias,modcloth:i:31752,Modcloth Item 31752,Bottoms,Bottoms,"{""domain"": ""modcloth"", ""avg_rating"": 3.8524332810047097, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:32134,Modcloth Item 32134,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 3.869158878504673, ""brand"": null, ""year"": 2018}",marketBias/data
market_bias,modcloth:i:32236,Modcloth Item 32236,Outerwear,Outerwear,"{""domain"": ""modcloth"", ""avg_rating"": 4.450066577896139, ""brand"": null, ""year"": 2014}",marketBias/data
market_bias,modcloth:i:32403,Modcloth Item 32403,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.367198838896952, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:32405,Modcloth Item 32405,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.325828642901814, ""brand"": null, ""year"": 2012}",marketBias/data
market_bias,modcloth:i:32406,Modcloth Item 32406,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 4.328647925033467, ""brand"": null, ""year"": 2013}",marketBias/data
market_bias,modcloth:i:34931,Modcloth Item 34931,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.513935340022297, ""brand"": null, ""year"": 2013}",marketBias/data
market_bias,modcloth:i:34935,Modcloth Item 34935,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.4822469528351885, ""brand"": null, ""year"": 2013}",marketBias/data
market_bias,modcloth:i:34937,Modcloth Item 34937,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.469437652811736, ""brand"": null, ""year"": 2015}",marketBias/data
market_bias,modcloth:i:35272,Modcloth Item 35272,Outerwear,Outerwear,"{""domain"": ""modcloth"", ""avg_rating"": 4.520499108734403, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:35525,Modcloth Item 35525,Dresses,Dresses,"{""domain"": ""modcloth"", ""avg_rating"": 3.7516129032258063, ""brand"": ""Retrolicious"", ""year"": 2014}",marketBias/data
market_bias,modcloth:i:36172,Modcloth Item 36172,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 4.025316455696203, ""brand"": null, ""year"": 2016}",marketBias/data
market_bias,modcloth:i:36408,Modcloth Item 36408,Tops,Tops,"{""domain"": ""modcloth"", ""avg_rating"": 3.739130434782609, ""brand"": null, ""year"": 2017}",marketBias/data
