dataset,item_id,title,genres,category,metadata_json,source
ml-32m,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-32m/movies.csv
ml-32m,2,Jumanji (1995),Adventure|Children|Fantasy,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-32m/movies.csv
ml-32m,3,Grumpier Old Men (1995),Comedy|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,5,Father of the Bride Part II (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,6,Heat (1995),Action|Crime|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-32m/movies.csv
ml-32m,7,Sabrina (1995),Comedy|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,8,Tom and Huck (1995),Adventure|Children,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-32m/movies.csv
ml-32m,9,Sudden Death (1995),Action,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-32m/movies.csv
ml-32m,10,GoldenEye (1995),Action|Adventure|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-32m/movies.csv
ml-32m,11,"American President, The (1995)",Comedy|Drama|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,13,Balto (1995),Adventure|Animation|Children,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-32m/movies.csv
ml-32m,14,Nixon (1995),Drama,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-32m/movies.csv
ml-32m,15,Cutthroat Island (1995),Action|Adventure|Romance,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-32m/movies.csv
ml-32m,16,Casino (1995),Crime|Drama,Crime,"{""release_year"": 1995, ""primary_genre"": ""Crime""}",ml-32m/movies.csv
ml-32m,17,Sense and Sensibility (1995),Drama|Romance,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-32m/movies.csv
ml-32m,18,Four Rooms (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
ml-32m,19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-32m/movies.csv
