dataset,user_id,item_id,rating,timestamp,split,context_json,source
ml-latest,1,1,4.0,1225734739,,,ml-latest/ratings.csv
ml-latest,1,110,4.0,1225865086,,,ml-latest/ratings.csv
ml-latest,1,158,4.0,1225733503,,,ml-latest/ratings.csv
ml-latest,1,260,4.5,1225735204,,,ml-latest/ratings.csv
ml-latest,1,356,5.0,1225735119,,,ml-latest/ratings.csv
ml-latest,1,381,3.5,1225734105,,,ml-latest/ratings.csv
ml-latest,1,596,4.0,1225733524,,,ml-latest/ratings.csv
ml-latest,1,1036,5.0,1225735626,,,ml-latest/ratings.csv
ml-latest,1,1049,3.0,1225734079,,,ml-latest/ratings.csv
ml-latest,1,1066,4.0,1225736961,,,ml-latest/ratings.csv
ml-latest,1,1196,3.5,1225735441,,,ml-latest/ratings.csv
ml-latest,1,1200,3.5,1225735861,,,ml-latest/ratings.csv
ml-latest,1,1210,4.5,1225735210,,,ml-latest/ratings.csv
ml-latest,1,1214,4.0,1225736426,,,ml-latest/ratings.csv
ml-latest,1,1291,5.0,1225734809,,,ml-latest/ratings.csv
ml-latest,1,1293,2.0,1225733842,,,ml-latest/ratings.csv
ml-latest,1,1376,3.0,1225733539,,,ml-latest/ratings.csv
ml-latest,1,1396,3.0,1225733534,,,ml-latest/ratings.csv
ml-latest,1,1537,4.0,1225736687,,,ml-latest/ratings.csv
ml-latest,1,1909,3.0,1225733717,,,ml-latest/ratings.csv
ml-latest,1,1959,4.0,1225734190,,,ml-latest/ratings.csv
ml-latest,1,1960,4.0,1225733965,,,ml-latest/ratings.csv
ml-latest,1,2028,5.0,1225735007,,,ml-latest/ratings.csv
ml-latest,1,2085,3.5,1225733974,,,ml-latest/ratings.csv
ml-latest,1,2116,4.0,1225734179,,,ml-latest/ratings.csv
ml-latest,1,2336,3.5,1225733831,,,ml-latest/ratings.csv
ml-latest,1,2571,2.5,1225736197,,,ml-latest/ratings.csv
ml-latest,1,2671,4.0,1225737459,,,ml-latest/ratings.csv
ml-latest,1,2762,5.0,1225735017,,,ml-latest/ratings.csv
ml-latest,1,2804,3.0,1225735064,,,ml-latest/ratings.csv
