dataset,item_id,title,genres,category,metadata_json,source
ml-latest,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,2,Jumanji (1995),Adventure|Children|Fantasy,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,3,Grumpier Old Men (1995),Comedy|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,5,Father of the Bride Part II (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,6,Heat (1995),Action|Crime|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,7,Sabrina (1995),Comedy|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,8,Tom and Huck (1995),Adventure|Children,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,9,Sudden Death (1995),Action,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,10,GoldenEye (1995),Action|Adventure|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,11,"American President, The (1995)",Comedy|Drama|Romance,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,13,Balto (1995),Adventure|Animation|Children,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,14,Nixon (1995),Drama,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,15,Cutthroat Island (1995),Action|Adventure|Romance,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,16,Casino (1995),Crime|Drama,Crime,"{""release_year"": 1995, ""primary_genre"": ""Crime""}",ml-latest/movies.csv
ml-latest,17,Sense and Sensibility (1995),Drama|Romance,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,18,Four Rooms (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,21,Get Shorty (1995),Comedy|Crime|Thriller,Comedy,"{""release_year"": 1995, ""primary_genre"": ""Comedy""}",ml-latest/movies.csv
ml-latest,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Crime,"{""release_year"": 1995, ""primary_genre"": ""Crime""}",ml-latest/movies.csv
ml-latest,23,Assassins (1995),Action|Crime|Thriller,Action,"{""release_year"": 1995, ""primary_genre"": ""Action""}",ml-latest/movies.csv
ml-latest,24,Powder (1995),Drama|Sci-Fi,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,25,Leaving Las Vegas (1995),Drama|Romance,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,26,Othello (1995),Drama,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,27,Now and Then (1995),Children|Drama,Children,"{""release_year"": 1995, ""primary_genre"": ""Children""}",ml-latest/movies.csv
ml-latest,28,Persuasion (1995),Drama|Romance,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Crime,"{""release_year"": 1995, ""primary_genre"": ""Crime""}",ml-latest/movies.csv
ml-latest,31,Dangerous Minds (1995),Drama,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
ml-latest,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Mystery,"{""release_year"": 1995, ""primary_genre"": ""Mystery""}",ml-latest/movies.csv
ml-latest,33,Wings of Courage (1995),Adventure|Romance|IMAX,Adventure,"{""release_year"": 1995, ""primary_genre"": ""Adventure""}",ml-latest/movies.csv
ml-latest,34,Babe (1995),Children|Drama,Children,"{""release_year"": 1995, ""primary_genre"": ""Children""}",ml-latest/movies.csv
ml-latest,35,Carrington (1995),Drama|Romance,Drama,"{""release_year"": 1995, ""primary_genre"": ""Drama""}",ml-latest/movies.csv
