dataset,item_id,title,genres,category,metadata_json,source
ml_20mx16x32,0,Synthetic Item 0,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,1,Synthetic Item 1,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,2,Synthetic Item 2,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,3,Synthetic Item 3,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,4,Synthetic Item 4,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,5,Synthetic Item 5,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,6,Synthetic Item 6,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,7,Synthetic Item 7,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,8,Synthetic Item 8,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,9,Synthetic Item 9,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,10,Synthetic Item 10,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,11,Synthetic Item 11,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,12,Synthetic Item 12,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,13,Synthetic Item 13,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,14,Synthetic Item 14,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,15,Synthetic Item 15,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,16,Synthetic Item 16,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,17,Synthetic Item 17,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,18,Synthetic Item 18,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,19,Synthetic Item 19,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,20,Synthetic Item 20,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,21,Synthetic Item 21,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,22,Synthetic Item 22,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,23,Synthetic Item 23,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,24,Synthetic Item 24,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,25,Synthetic Item 25,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,26,Synthetic Item 26,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,27,Synthetic Item 27,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,28,Synthetic Item 28,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,29,Synthetic Item 29,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,30,Synthetic Item 30,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
ml_20mx16x32,31,Synthetic Item 31,synthetic,synthetic,"{""synthetic"": true}",ml-20mx16x32
