dataset,item_id,title,genres,category,metadata_json,source
music_in_car,248,The Thrill is Gone,Blues music,Blues music,"{""artist"": ""B.B.King"", ""album"": ""\\N"", ""mp3url"": ""Music/Blues/B.B.King - The Thrill is Gone.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,250,Crazy Blues,Blues music,Blues music,"{""artist"": ""Mamie Smith"", ""album"": ""\\N"", ""mp3url"": ""Music/Blues/Mamie Smith - Crazy Blues.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,251,Hellhound On My Trail,Blues music,Blues music,"{""artist"": ""Robert Johnson"", ""album"": ""\\N"", ""mp3url"": ""Music/Blues/Robert Johnson - Hellhound On My Trail.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,252,Stormy Monday,Blues music,Blues music,"{""artist"": ""T-Bone Walker"", ""album"": ""\\N"", ""mp3url"": ""Music/Blues/T-Bone Walker - Stormy Monday.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,253,Four Seasons,Classical music,Classical music,"{""artist"": ""Antonio Vivaldi"", ""album"": ""\\N"", ""mp3url"": ""Music/Classical/Antonio Vivaldi - Four Seasons.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,254,Brandenburg Concerto 3,Classical music,Classical music,"{""artist"": ""Bach"", ""album"": ""\\N"", ""mp3url"": ""Music/Classical/Bach - Brandenburg Concerto 3.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,255,Symphony 5,Classical music,Classical music,"{""artist"": ""Beethoven"", ""album"": ""\\N"", ""mp3url"": ""Music/Classical/Beethoven - Symphony 5.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,256,Trout Quintet,Classical music,Classical music,"{""artist"": ""Franz Schubert"", ""album"": ""\\N"", ""mp3url"": ""Music/Classical/Franz Schubert - Trout Quintet.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,257,Rhapsody in Blue,Classical music,Classical music,"{""artist"": ""George Gershwin"", ""album"": ""\\N"", ""mp3url"": ""Music/Classical/George Gershwin - Rhapsody in Blue.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,258,The Devil Went Down to Georgia,Country music,Country music,"{""artist"": ""Charlie Daniels Band"", ""album"": ""\\N"", ""mp3url"": ""Music/Country/Charlie Daniels Band - The Devil Went Down to Georgia.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,259,Im So Lonesome I Could Cry,Country music,Country music,"{""artist"": ""Hank Williams"", ""album"": ""\\N"", ""mp3url"": ""Music/Country/Hank Williams - Im So Lonesome I Could Cry.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,260,I Walk the Line,Country music,Country music,"{""artist"": ""Johnny Cash"", ""album"": ""\\N"", ""mp3url"": ""Music/Country/Johnny Cash - I Walk the Line.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,261,Stand By Your Man,Country music,Country music,"{""artist"": ""Tammy Wynette"", ""album"": ""\\N"", ""mp3url"": ""Music/Country/Tammy Wynette - Stand By Your Man.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,262,Flowers On The Wall,Country music,Country music,"{""artist"": ""The Statler Brothers"", ""album"": ""\\N"", ""mp3url"": ""Music/Country/The Statler Brothers - Flowers On The Wall.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,263,Stayin Alive,Disco music,Disco music,"{""artist"": ""Bee Gees"", ""album"": ""\\N"", ""mp3url"": ""Music/Disco/Bee Gees - Stayin Alive.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,264,Good Times,Disco music,Disco music,"{""artist"": ""Chic"", ""album"": ""\\N"", ""mp3url"": ""Music/Disco/Chic - Good Times.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,265,I Will Survive,Disco music,Disco music,"{""artist"": ""Gloria Gaynor"", ""album"": ""\\N"", ""mp3url"": ""Music/Disco/Gloria Gaynor - I Will Survive.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,266,Funkytown,Disco music,Disco music,"{""artist"": ""Lipps Inc"", ""album"": ""\\N"", ""mp3url"": ""Music/Disco/Lipps Inc - Funkytown.mp3""}",music_in_car/Data_InCarMusic.xlsx
music_in_car,267,YMCA,Disco music,Disco music,"{""artist"": ""Village People"", ""album"": ""\\N"", ""mp3url"": ""Music/Disco/Village People - YMCA.mp3""}",music_in_car/Data_InCarMusic.xlsx
